Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
20045,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20047,0,1,0,1,0,1,0,0,0,0,1,0,0,0,4
20048,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20049,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
20050,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
20051,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4
20052,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
20053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20054,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
20055,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20059,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
20060,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3
20061,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20063,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5
20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20067,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3
20068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20069,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20070,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
20071,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
20072,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3
20073,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
20074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20075,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
20076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20077,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
20078,0,1,0,1,1,0,0,0,0,1,0,0,0,0,4
20079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20081,1,1,0,0,0,1,0,0,0,0,0,1,1,0,5
20082,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20083,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20085,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20086,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
20087,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
20088,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
20089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20091,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20093,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4
20094,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6
20095,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
20096,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20100,0,1,1,0,0,1,1,0,0,1,0,0,0,0,5
20101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20104,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
20105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20108,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20109,0,0,0,1,1,0,0,0,0,1,0,1,0,1,5
20110,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4
20111,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20112,0,1,1,0,0,1,0,0,0,0,1,1,1,0,6
20113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20114,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
20115,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4
20116,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
20117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
20118,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
20119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20122,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
20123,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
20124,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20125,1,1,1,1,0,0,1,0,0,1,0,0,1,0,7
20126,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
20127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20128,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
20129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20130,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
20131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20135,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4
20136,1,0,0,0,0,1,0,0,0,1,0,1,0,0,4
20137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20138,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
20139,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
20140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20142,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
20143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20144,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
20145,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
20146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20147,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20148,1,0,1,1,1,1,1,1,0,1,0,0,0,0,8
20149,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
20150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20151,0,1,0,1,1,1,0,0,0,1,0,0,0,0,5
20152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20153,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20155,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20156,0,1,1,0,0,1,1,1,0,1,1,0,1,0,8
20157,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3
20164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20165,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
20166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20172,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20173,1,1,0,0,0,1,0,0,0,1,0,0,1,0,5
20174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20175,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4
20176,0,0,1,1,0,1,0,0,0,1,0,0,0,0,4
20177,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
20178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20179,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4
20180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181,1,0,1,1,0,1,0,0,0,1,0,0,0,0,5
20182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20183,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3
20184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20186,1,0,0,0,1,1,0,0,0,1,0,0,0,0,4
20187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20188,1,0,1,1,0,0,0,0,0,1,0,0,0,0,4
20189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20190,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
20191,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5
20192,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
20193,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
20194,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
20195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20197,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3
20198,1,0,0,0,0,1,1,0,0,1,0,0,0,0,4
20199,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
20200,1,1,0,1,0,1,0,0,0,0,1,0,0,0,5
20201,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20202,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20207,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
20208,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
20209,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3
20210,1,1,0,0,1,1,0,0,0,1,0,0,1,1,7
20211,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
20212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
20214,1,1,1,0,0,0,0,1,0,0,1,0,0,0,5
20215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20216,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
20217,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3
20218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20219,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4
20220,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20222,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
20223,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4
20224,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4
20225,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
20226,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20228,1,0,1,0,0,0,0,1,0,0,1,0,0,0,4
20229,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4
20230,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
20231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20232,1,1,0,0,1,1,0,0,0,1,0,0,0,1,6
20233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20234,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4
20235,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
20236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20237,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20239,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20240,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20242,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20243,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4
20244,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
20245,0,0,1,0,0,1,0,1,0,0,1,0,0,0,4
20246,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
20247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20249,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
20250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20251,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
20252,1,0,1,0,1,1,0,0,0,1,0,0,0,0,5
20253,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4
20254,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
20255,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3
20256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20258,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
20259,1,1,0,0,0,1,1,0,0,1,0,0,1,0,6
20260,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20261,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4
20262,0,1,0,0,0,1,1,0,0,1,1,0,1,0,6
20263,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
20264,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
20265,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
20266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20267,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
20268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20269,1,1,1,0,0,0,0,0,0,1,0,0,1,0,5
20270,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20271,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20272,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
20273,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4
20274,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20276,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4
20277,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20278,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3
20279,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
20280,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
20281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20283,1,0,1,1,0,1,0,0,0,1,0,0,0,0,5
20284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20285,1,1,1,0,0,1,0,0,0,0,0,1,0,0,5
20286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
20287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20291,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
20293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20294,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20295,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3
20296,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
20297,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20301,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3
20302,0,0,0,0,1,1,0,0,1,0,0,1,0,0,4
20303,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3
20304,1,1,1,0,0,1,0,0,0,1,0,0,0,0,5
20305,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
20306,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20308,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20311,1,0,1,1,0,0,0,0,0,1,0,0,0,0,4
20312,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
20313,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20315,1,0,1,0,1,1,0,0,1,1,0,0,0,0,6
20316,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
20317,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
20318,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
20319,1,0,1,0,0,1,0,0,0,1,0,0,0,0,4
20320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20321,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3
20322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20323,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
20324,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3
20325,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
20326,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3
20327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20328,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20329,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20330,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4
20331,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
20332,1,0,1,1,0,0,0,0,1,1,0,0,0,0,5
20333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
20334,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3
20335,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
20336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20337,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
20338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20339,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
20340,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
20341,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
20342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20345,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
20346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20347,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
20348,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
20349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20352,0,0,1,1,1,0,0,0,0,0,0,0,0,1,4
20353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20354,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
20355,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3
20356,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4
20357,1,0,1,0,0,1,0,1,0,0,1,0,0,0,5
20358,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
20359,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
20360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20361,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4
20362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20364,1,0,1,0,0,1,0,0,0,1,0,0,0,0,4
20365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20369,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4
20370,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
20371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
