Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
23043,0,0,0,0,0,0,0,0,0,0,0,0
23044,0,0,1,0,0,0,0,0,0,0,0,1
23045,0,0,0,1,0,0,0,0,0,0,0,1
23046,0,0,0,1,0,0,0,0,0,0,0,1
23047,0,0,0,0,0,0,0,0,0,0,0,0
23048,0,0,0,0,0,0,0,0,0,0,0,0
23049,0,0,0,0,0,0,0,0,0,0,0,0
23050,0,0,1,0,0,0,0,0,0,0,0,1
23051,0,0,0,1,0,0,0,0,0,0,0,1
23052,0,0,1,0,0,0,0,0,0,0,0,1
23053,0,0,0,0,0,0,0,0,0,0,0,0
23054,0,0,1,0,0,0,0,0,0,0,0,1
23055,0,0,1,0,0,0,0,0,0,0,0,1
23056,1,0,0,0,0,0,0,0,0,0,0,1
23057,0,0,1,0,0,0,0,0,0,0,0,1
23058,0,0,0,0,0,0,0,0,0,0,0,0
23059,0,0,1,0,0,0,0,0,0,0,0,1
23060,1,0,0,1,0,0,1,0,0,0,0,3
23061,0,0,0,0,0,0,0,0,0,0,0,0
23062,0,0,0,0,0,0,0,0,0,0,0,0
23063,0,0,0,1,0,0,0,0,0,0,0,1
23064,0,0,1,1,0,0,0,0,0,0,0,2
23065,1,0,1,1,0,1,1,0,0,0,0,5
23066,0,0,0,1,0,0,0,0,0,0,0,1
23067,0,0,0,0,0,0,0,0,0,0,0,0
23068,0,0,0,0,0,0,0,0,0,0,0,0
23069,0,0,0,0,0,0,0,0,0,0,0,0
23070,0,0,0,0,0,0,0,0,0,0,0,0
23071,0,0,0,0,0,0,0,0,0,0,0,0
23072,0,0,0,0,0,0,0,0,0,0,0,0
23073,0,0,0,0,0,0,0,0,0,0,0,0
23074,0,0,0,1,0,0,0,0,0,0,0,1
23075,0,0,0,0,0,0,0,0,0,0,0,0
23076,0,0,1,0,0,0,0,0,0,0,0,1
23077,0,0,0,0,0,0,0,0,0,0,0,0
23078,0,0,0,0,0,0,0,0,0,0,0,0
23079,0,0,0,0,0,0,0,0,0,0,0,0
23080,0,0,1,0,0,0,0,0,0,0,0,1
23081,0,0,1,1,0,1,0,0,0,0,0,3
23082,0,0,0,0,0,0,0,0,0,0,0,0
23083,0,0,1,1,0,1,1,0,0,0,0,4
23084,0,0,0,0,0,0,0,0,0,0,0,0
23085,0,0,0,0,0,0,0,0,0,0,0,0
23086,0,0,1,0,0,0,0,0,0,0,0,1
23087,0,0,0,0,0,0,0,0,0,0,0,0
23088,0,0,0,0,0,0,0,0,0,0,0,0
23089,0,0,0,0,0,1,0,0,0,0,0,1
23090,0,0,0,0,0,0,0,0,0,0,0,0
23091,1,0,0,0,0,0,0,0,0,0,0,1
23092,0,0,0,0,0,0,0,0,0,0,0,0
23093,0,0,0,0,0,0,0,0,0,0,0,0
23094,0,0,1,0,0,0,0,0,0,0,0,1
23095,0,0,0,0,0,0,0,0,0,0,0,0
23096,0,0,1,0,0,0,0,0,0,0,0,1
23097,0,0,0,1,0,0,0,0,0,0,0,1
23098,0,0,0,0,0,0,0,0,0,0,0,0
23099,0,0,0,0,0,0,0,0,0,0,0,0
23100,0,0,0,0,0,1,0,0,0,0,0,1
23101,0,0,0,1,0,1,0,0,0,0,0,2
23102,0,0,1,0,0,0,0,0,0,0,0,1
23103,0,0,0,0,0,0,0,0,0,0,0,0
23104,0,0,1,0,0,0,0,0,0,0,0,1
23105,0,0,0,1,0,1,0,0,1,0,0,3
23106,0,0,0,0,0,0,0,0,0,0,0,0
23107,0,0,1,1,0,1,0,0,0,0,0,3
23108,0,0,0,0,0,0,0,0,0,0,0,0
23109,0,0,0,0,0,0,0,0,0,0,0,0
23110,0,0,1,0,0,0,0,0,0,0,0,1
23111,0,0,1,0,0,0,0,0,0,0,0,1
23112,0,0,1,0,0,1,0,0,0,0,0,2
23113,0,0,0,0,0,0,0,0,0,0,0,0
23114,1,0,0,1,0,0,0,0,0,0,0,2
23115,0,0,0,1,0,1,0,0,0,0,0,2
23116,0,1,1,0,0,1,0,0,0,0,0,3
23117,0,0,1,0,0,1,0,0,0,0,0,2
23118,1,0,1,0,0,0,0,0,0,0,0,2
23119,1,0,0,1,0,0,0,0,0,0,0,2
23120,0,0,1,0,0,1,0,0,0,0,0,2
23121,0,0,0,0,0,0,0,0,0,0,0,0
23122,0,0,1,1,0,1,0,0,0,0,0,3
23123,0,0,1,1,0,0,1,0,0,0,0,3
23124,0,0,0,0,0,0,0,0,0,0,0,0
23125,0,0,0,0,0,0,0,0,0,0,0,0
23126,0,0,0,0,0,0,0,0,0,0,0,0
23127,0,0,0,0,0,0,0,0,0,0,0,0
23128,0,0,0,0,0,0,0,0,0,0,0,0
23129,0,0,1,0,0,0,0,0,0,0,0,1
23130,0,0,1,0,0,0,0,0,0,0,0,1
23131,0,0,0,0,0,1,1,0,0,0,0,2
23132,0,0,0,0,0,0,0,0,0,0,0,0
23133,1,0,0,0,0,0,0,0,0,0,0,1
23134,0,0,0,0,0,0,0,0,1,0,0,1
23135,1,0,0,0,0,0,0,0,0,0,0,1
23136,0,0,0,0,0,1,0,0,1,0,0,2
23137,0,0,0,1,0,0,0,0,0,0,0,1
23138,0,0,0,0,0,0,0,0,0,0,0,0
23139,0,0,0,0,0,0,0,0,0,0,0,0
23140,0,0,0,0,0,0,0,0,0,0,0,0
23141,0,0,0,0,0,0,0,0,0,0,0,0
23142,0,0,0,0,0,0,0,0,0,0,0,0
23143,0,0,0,0,0,0,0,0,0,0,0,0
23144,0,0,0,0,0,0,0,0,0,0,0,0
23145,0,0,0,1,0,0,0,0,0,0,0,1
23146,0,0,0,0,0,1,0,0,0,0,0,1
23147,0,0,1,0,0,0,0,0,0,0,0,1
23148,0,0,0,0,0,0,0,0,0,0,0,0
23149,0,0,1,1,0,0,0,0,1,0,0,3
23150,0,0,0,0,0,0,0,0,0,0,0,0
23151,0,0,0,0,0,1,0,0,1,0,0,2
23152,0,0,0,0,0,0,0,0,0,0,0,0
23153,0,0,0,0,0,1,1,0,0,0,0,2
23154,0,0,0,0,0,0,0,0,0,0,0,0
23155,0,0,0,1,0,1,0,0,0,0,0,2
23156,0,0,0,0,0,0,0,0,0,0,0,0
23157,0,0,1,1,0,1,1,0,0,0,0,4
23158,0,0,1,0,0,0,0,0,0,0,0,1
23159,0,0,1,0,0,0,0,0,0,0,0,1
23160,0,0,0,1,0,0,0,0,0,0,0,1
23161,0,0,1,0,0,0,0,0,0,0,0,1
23162,0,0,0,0,0,0,0,0,0,0,0,0
23163,0,0,0,1,0,0,0,0,0,0,0,1
23164,0,0,0,0,0,0,0,0,0,0,0,0
23165,0,0,1,0,0,0,0,0,0,0,0,1
23166,0,0,1,1,0,0,0,0,0,0,0,2
23167,0,0,0,0,0,0,0,0,0,0,0,0
23168,0,0,0,0,0,0,0,0,0,0,0,0
23169,0,0,0,0,0,0,0,0,0,0,0,0
23170,0,0,1,1,0,1,1,0,0,0,0,4
23171,0,0,0,0,0,0,0,0,0,0,0,0
23172,0,0,1,1,0,1,1,0,0,0,0,4
23173,0,0,1,0,0,1,0,0,0,0,0,2
23174,0,0,0,0,0,0,0,0,0,0,0,0
23175,0,0,0,0,0,0,0,0,0,0,0,0
23176,0,0,0,0,0,0,0,0,0,0,0,0
23177,1,0,0,0,0,0,0,0,0,0,0,1
23178,0,0,1,0,0,0,0,0,0,0,0,1
23179,0,0,0,1,0,0,0,0,0,0,0,1
23180,1,0,0,0,0,0,0,0,0,0,0,1
23181,0,0,0,1,0,1,0,0,0,0,0,2
23182,0,0,0,0,0,0,0,0,0,0,0,0
23183,0,0,1,0,0,0,0,0,0,0,0,1
23184,0,0,0,1,0,0,0,0,0,0,0,1
23185,0,0,0,1,0,1,1,0,0,0,0,3
23186,0,0,0,0,0,0,0,0,0,0,0,0
23187,0,0,0,1,0,1,0,0,0,0,0,2
23188,0,0,0,0,0,1,0,0,0,0,0,1
23189,0,0,0,0,0,0,0,0,0,0,0,0
23190,0,0,0,0,0,0,0,0,0,0,0,0
23191,0,0,0,0,0,0,0,0,0,0,0,0
23192,0,0,0,0,0,0,0,0,0,0,0,0
23193,0,0,1,0,0,0,0,0,0,0,0,1
23194,0,0,1,0,0,0,0,0,0,0,0,1
23195,0,0,1,0,0,0,0,0,0,0,0,1
23196,0,0,0,1,0,1,1,0,0,0,0,3
23197,1,0,0,0,0,0,0,0,0,0,0,1
23198,0,0,1,0,0,0,0,0,0,0,0,1
23199,0,0,0,0,0,0,0,0,0,0,0,0
23200,0,0,0,0,0,0,0,0,0,0,0,0
23201,0,0,0,0,0,0,0,0,0,0,0,0
23202,0,0,0,1,0,1,1,0,0,0,0,3
23203,1,0,1,1,0,1,1,0,0,0,0,5
23204,0,0,0,0,0,0,0,0,0,0,0,0
23205,0,0,0,0,0,0,0,0,0,0,0,0
23206,0,0,1,0,0,1,0,0,0,0,0,2
23207,0,0,0,0,0,0,0,0,0,0,0,0
23208,0,0,0,1,0,1,0,0,0,0,0,2
23209,0,0,0,0,0,0,1,0,0,0,0,1
23210,0,0,1,1,0,1,1,0,0,0,0,4
23211,0,0,0,0,0,0,0,0,0,0,0,0
23212,0,0,0,0,0,0,0,0,0,0,0,0
23213,0,0,0,0,0,0,0,0,0,0,0,0
23214,0,0,1,0,0,0,0,0,0,0,0,1
23215,0,0,0,0,0,0,0,0,0,0,0,0
23216,0,0,0,0,0,0,0,0,0,1,0,1
23217,0,0,0,0,0,0,0,0,0,0,0,0
23218,0,0,0,0,0,0,0,0,0,0,0,0
23219,0,0,0,0,0,0,0,0,0,0,0,0
23220,0,0,0,1,0,1,1,0,1,0,0,4
23221,0,0,0,0,0,0,0,0,0,0,0,0
23222,0,0,0,0,0,0,0,0,0,0,0,0
23223,1,0,1,1,0,1,0,0,0,0,0,4
23224,0,0,0,0,0,0,0,0,0,0,0,0
23225,0,0,0,1,0,1,0,0,0,0,0,2
23226,0,0,0,0,0,0,0,0,0,0,0,0
23227,0,0,1,0,0,0,0,0,0,0,0,1
23228,0,0,1,1,0,1,1,0,0,0,0,4
23229,0,0,0,0,0,0,0,0,0,0,0,0
23230,0,0,0,0,0,0,0,0,0,0,0,0
23231,0,0,0,0,0,0,0,0,0,0,0,0
23232,0,0,0,1,0,1,1,0,0,0,0,3
23233,0,0,1,1,0,1,1,0,0,0,0,4
23234,0,0,0,0,0,0,0,0,0,0,0,0
23235,0,0,1,0,0,0,0,0,0,0,0,1
23236,0,0,0,0,0,0,0,0,0,0,0,0
23237,0,0,1,1,0,0,0,0,0,0,0,2
23238,0,0,1,0,0,1,0,0,0,0,0,2
23239,0,0,0,0,0,0,0,0,0,0,0,0
23240,0,0,1,1,0,1,0,0,0,0,0,3
23241,0,0,0,0,0,0,0,0,0,0,0,0
23242,0,0,0,0,0,0,0,0,0,0,0,0
23243,0,0,1,1,0,1,0,0,0,0,0,3
23244,0,0,1,0,0,0,0,0,0,0,0,1
23245,0,0,0,1,0,1,1,0,0,0,0,3
23246,0,0,0,0,0,0,0,0,0,0,0,0
23247,0,0,0,0,0,0,0,0,0,0,0,0
23248,0,0,1,0,0,0,0,0,0,0,0,1
23249,0,0,0,0,0,0,0,0,0,0,0,0
23250,1,0,0,0,0,0,0,0,0,0,0,1
23251,0,0,0,0,0,0,0,0,0,0,0,0
23252,0,1,0,0,0,0,0,0,0,0,0,1
23253,0,0,1,1,0,1,0,0,0,0,0,3
23254,0,0,0,0,0,0,0,0,0,0,0,0
23255,0,0,0,1,0,0,0,0,0,0,0,1
23256,0,0,0,1,0,1,0,0,0,0,0,2
23257,0,0,0,0,0,0,0,0,0,0,0,0
23258,0,0,1,1,0,1,1,0,0,0,0,4
23259,0,0,0,0,0,1,0,0,0,0,0,1
23260,0,0,1,0,0,0,0,0,0,0,0,1
23261,0,0,0,1,0,0,0,0,0,0,0,1
23262,0,0,0,1,0,0,0,0,1,0,0,2
23263,0,0,0,0,0,0,0,0,0,0,0,0
23264,0,0,0,0,0,0,0,0,0,0,0,0
23265,0,0,0,0,0,1,0,0,0,0,0,1
23266,0,0,0,1,0,0,0,0,0,0,0,1
23267,0,0,1,0,0,0,0,0,0,0,0,1
23268,0,0,0,0,0,0,0,0,0,0,0,0
23269,0,0,0,0,0,0,0,0,0,0,0,0
23270,0,0,1,0,0,0,0,0,0,0,0,1
23271,0,0,0,0,0,0,0,0,0,0,0,0
23272,1,0,0,0,0,0,0,0,0,0,0,1
23273,0,0,1,0,0,0,0,0,0,0,0,1
23274,0,0,0,0,0,0,0,0,0,0,0,0
23275,0,0,1,0,0,0,0,0,0,0,0,1
23276,0,0,1,0,0,0,0,0,0,0,0,1
23277,0,0,0,1,0,0,0,0,0,0,0,1
23278,0,0,0,1,0,1,1,0,0,0,0,3
23279,1,0,0,1,0,0,0,0,1,0,0,3
23280,1,0,0,0,0,0,0,0,0,0,0,1
23281,0,0,1,0,0,0,0,0,0,0,0,1
23282,0,0,0,0,0,0,0,0,0,0,0,0
23283,0,0,0,0,0,0,0,0,1,0,0,1
23284,0,0,0,0,0,0,0,0,0,0,0,0
23285,0,0,1,1,0,1,0,0,0,0,0,3
23286,0,0,0,0,0,0,0,0,0,0,0,0
23287,0,0,0,0,0,0,0,0,0,0,0,0
23288,0,0,1,1,0,0,0,0,0,0,0,2
23289,0,0,0,1,0,1,1,0,0,0,0,3
23290,0,0,0,1,0,0,0,0,0,0,0,1
23291,0,0,0,0,0,0,0,0,0,0,0,0
23292,0,0,0,0,0,0,0,0,0,0,0,0
23293,0,0,1,0,0,0,0,0,0,0,0,1
23294,1,0,0,1,0,1,1,0,0,0,0,4
23295,0,0,0,0,0,0,0,0,0,0,0,0
23296,0,0,0,1,0,0,0,0,0,0,0,1
23297,0,0,0,1,0,0,0,0,0,0,0,1
23298,0,0,0,0,0,0,0,0,0,0,0,0
23299,0,0,1,0,0,0,0,0,0,0,0,1
23300,0,0,1,0,0,0,0,0,0,0,0,1
23301,0,0,0,0,0,0,0,0,0,0,0,0
23302,0,0,0,0,0,0,0,0,0,0,0,0
23303,1,0,1,1,0,0,0,0,0,0,0,3
23304,0,0,0,0,0,0,0,0,1,0,0,1
23305,0,0,0,1,0,1,0,0,0,0,0,2
23306,0,0,0,0,0,0,0,0,0,0,0,0
23307,0,0,0,0,0,0,0,0,0,0,0,0
23308,0,0,1,0,0,0,0,0,0,0,0,1
23309,0,0,1,0,0,1,0,0,0,0,0,2
23310,0,0,1,0,0,0,0,0,0,0,0,1
23311,0,0,0,0,0,0,0,0,0,0,0,0
23312,0,0,0,0,0,0,0,0,0,0,0,0
23313,0,0,0,0,0,1,0,0,0,0,0,1
23314,0,0,0,0,0,0,0,0,0,0,0,0
23315,0,0,0,0,0,0,0,0,0,0,0,0
23316,0,0,0,0,0,0,0,0,0,0,0,0
23317,0,0,0,1,0,0,0,0,0,0,0,1
23318,0,0,0,0,0,0,0,0,0,0,0,0
23319,0,0,0,0,0,0,0,0,0,0,0,0
23320,1,0,0,1,0,0,1,0,0,0,0,3
23321,0,0,1,1,0,1,0,0,0,0,0,3
23322,0,0,0,0,0,0,0,0,0,0,0,0
23323,0,0,0,0,0,0,0,0,0,0,0,0
23324,0,0,1,1,0,0,0,0,0,0,0,2
23325,0,0,0,0,0,0,0,0,0,0,0,0
23326,0,0,0,0,0,0,0,0,0,0,0,0
23327,0,0,0,0,0,0,0,0,0,0,0,0
23328,0,0,0,1,0,1,0,0,0,0,0,2
23329,1,0,0,0,0,0,0,0,0,0,0,1
23330,0,0,0,1,0,0,0,0,0,0,0,1
23331,0,0,0,0,0,0,0,0,0,0,0,0
23332,0,0,0,1,0,0,0,0,0,0,0,1
23333,0,0,0,0,0,0,0,0,0,0,0,0
23334,0,0,0,0,0,0,0,0,0,0,0,0
23335,0,0,1,0,0,0,0,0,0,0,0,1
23336,0,0,0,1,0,0,0,0,0,0,0,1
23337,0,0,0,1,0,0,0,0,0,0,0,1
23338,0,0,1,0,0,0,0,0,0,0,0,1
23339,0,0,1,0,0,0,0,0,0,0,0,1
23340,0,0,0,0,0,0,0,0,0,0,0,0
23341,0,0,0,0,0,0,0,0,0,0,0,0
23342,0,0,0,0,0,0,0,0,0,0,0,0
23343,1,0,1,1,0,1,1,0,0,0,0,5
23344,1,0,0,0,0,0,0,0,0,0,0,1
23345,0,0,0,1,0,0,0,0,0,0,0,1
23346,1,0,1,0,0,1,0,0,0,0,0,3
23347,1,0,0,1,0,0,1,0,0,0,0,3
23348,0,0,0,0,0,0,0,0,0,0,0,0
23349,0,0,0,1,0,0,0,0,0,0,0,1
23350,0,0,0,0,0,0,0,0,0,0,0,0
23351,0,0,1,1,0,1,1,0,0,0,0,4
23352,0,0,0,0,0,1,0,0,0,0,0,1
23353,0,0,1,0,0,0,0,0,0,0,0,1
23354,0,0,0,0,0,0,0,0,0,0,0,0
23355,0,0,0,0,0,0,0,0,0,0,0,0
23356,0,0,0,1,0,0,0,0,0,0,0,1
23357,0,0,1,1,0,1,0,0,0,0,0,3
23358,0,1,0,0,0,0,0,0,0,0,0,1
23359,0,0,1,0,0,0,0,0,0,0,0,1
23360,0,0,0,1,0,1,1,0,0,0,0,3
23361,0,0,0,0,0,0,0,0,0,0,0,0
23362,0,0,0,0,0,0,0,0,0,0,0,0
23363,0,0,0,0,0,0,0,0,0,0,0,0
23364,0,0,0,1,0,1,1,0,0,0,0,3
23365,0,0,1,1,0,1,1,0,0,0,0,4
23366,1,0,0,1,0,1,1,0,1,0,0,5
23367,0,0,0,1,0,1,0,0,0,0,0,2
23368,1,0,0,0,0,1,0,0,1,0,0,3
23369,0,0,0,1,0,0,0,0,0,0,0,1
23370,0,0,0,0,0,0,0,0,0,0,0,0
23371,0,0,0,0,0,0,0,0,0,0,0,0
23372,0,0,0,1,0,0,0,0,0,0,0,1
23373,0,0,0,0,0,0,0,0,0,0,0,0
23374,0,0,0,0,0,0,0,0,0,0,0,0
23375,0,0,1,1,0,1,1,0,0,0,0,4
23376,0,0,0,0,0,0,0,0,0,0,0,0
23377,0,0,0,0,0,1,0,0,0,0,0,1
23378,0,0,0,0,0,0,0,0,0,0,0,0
23379,0,0,1,0,0,0,0,0,0,0,0,1
23380,0,1,0,0,0,0,0,0,1,0,0,2
23381,0,0,0,0,0,0,0,0,0,0,0,0
23382,0,0,0,0,0,0,0,0,0,0,0,0
23383,0,0,0,0,0,0,1,0,0,0,0,1
23384,0,0,0,1,0,0,0,0,0,0,0,1
23385,0,0,0,1,0,1,0,0,0,0,0,2
23386,0,0,0,1,0,1,0,0,0,0,0,2
23387,0,0,1,0,0,0,0,0,0,0,0,1
23388,0,0,1,0,0,0,0,0,0,0,0,1
23389,0,0,1,1,0,1,1,0,0,0,0,4
23390,0,0,0,0,0,0,0,0,0,0,0,0
23391,0,0,0,0,0,0,0,0,0,0,0,0
23392,0,0,0,1,0,1,0,0,0,0,0,2
23393,0,0,0,0,0,0,0,0,0,0,0,0
23394,0,0,1,1,0,1,1,0,0,0,0,4
23395,0,0,1,1,0,1,0,0,0,0,0,3
23396,0,0,0,0,0,0,0,0,0,0,0,0
23397,0,0,0,0,0,0,0,0,0,0,0,0
23398,0,0,0,0,0,0,0,0,0,0,0,0
23399,0,0,0,0,0,0,0,0,0,0,0,0
23400,0,0,0,0,0,0,0,0,0,0,0,0
23401,0,0,0,0,0,0,0,0,0,0,0,0
23402,0,0,0,0,0,0,0,0,0,0,0,0
23403,0,0,0,0,0,0,0,0,0,0,0,0
23404,0,0,1,0,0,0,0,0,0,0,0,1
23405,0,0,1,0,0,0,0,0,0,0,0,1
23406,0,0,0,1,0,0,0,0,0,0,0,1
23407,0,0,1,1,0,0,1,0,0,0,0,3
23408,0,0,0,0,0,0,0,0,0,0,0,0
23409,0,0,0,0,0,0,0,0,0,0,0,0
23410,0,0,0,0,0,0,0,0,0,0,0,0
23411,0,0,0,1,0,0,0,0,0,0,0,1
23412,0,0,0,0,0,0,0,0,0,0,0,0
23413,0,0,1,1,0,0,0,0,0,0,0,2
23414,0,0,0,0,0,0,0,0,0,0,0,0
23415,0,0,0,1,0,1,0,0,0,0,0,2
23416,0,0,0,1,0,0,0,0,0,0,0,1
23417,0,0,0,0,0,0,0,0,0,0,0,0
23418,0,0,0,0,0,0,0,0,0,0,0,0
23419,0,0,0,0,0,0,0,0,0,0,0,0
23420,0,0,0,1,0,1,0,0,0,0,0,2
23421,0,0,0,1,0,0,0,0,0,0,0,1
23422,0,0,1,0,0,0,0,0,0,0,0,1
23423,0,0,0,0,0,0,0,0,0,0,0,0
23424,0,0,0,0,0,0,0,0,0,0,0,0
23425,1,0,0,0,0,0,0,0,0,0,0,1
23426,0,0,1,0,0,0,0,0,0,0,0,1
23427,0,0,0,1,0,1,0,0,0,0,0,2
23428,0,0,0,0,0,0,0,0,0,0,0,0
23429,0,0,1,0,0,0,0,0,0,0,0,1
23430,0,0,0,0,0,0,0,0,0,0,0,0
23431,0,0,1,0,0,0,0,0,0,0,0,1
23432,0,0,0,1,0,1,1,0,0,0,0,3
23433,0,0,0,0,0,0,0,0,0,0,0,0
23434,0,0,0,1,0,1,1,0,1,0,0,4
23435,0,0,0,1,0,0,0,0,0,0,0,1
23436,0,0,0,0,0,0,1,0,0,0,0,1
23437,0,0,1,0,0,0,0,0,0,0,0,1
23438,0,0,0,1,0,0,0,0,1,0,0,2
23439,0,0,0,0,0,0,0,0,0,0,0,0
23440,0,0,0,0,0,0,0,0,0,0,0,0
23441,0,0,0,0,0,0,0,0,1,0,0,1
23442,0,0,1,0,0,0,0,0,0,0,0,1
23443,0,0,0,1,0,1,1,0,0,0,0,3
23444,0,0,1,1,0,1,0,0,0,0,0,3
23445,0,0,0,1,0,0,0,0,0,0,0,1
23446,0,0,1,0,0,1,0,0,0,0,0,2
23447,0,0,0,0,0,0,0,0,0,0,0,0
23448,0,0,1,0,0,0,0,0,0,0,0,1
23449,0,0,0,1,0,0,0,0,0,0,0,1
23450,0,0,1,0,0,0,0,0,0,0,0,1
23451,0,0,1,0,0,0,0,0,0,0,0,1
23452,0,0,1,1,0,1,1,0,0,0,0,4
23453,0,0,1,1,0,1,1,0,0,0,0,4
23454,0,0,0,0,0,0,0,0,0,0,0,0
23455,0,0,0,0,0,0,0,0,0,0,0,0
23456,0,0,0,0,0,0,0,0,0,0,0,0
23457,0,0,1,1,0,0,0,0,0,0,0,2
23458,0,0,1,0,0,0,0,0,0,0,0,1
23459,0,0,0,0,0,0,1,0,0,0,0,1
23460,0,0,0,1,0,0,0,0,0,0,0,1
23461,0,0,0,0,0,0,0,0,0,0,0,0
23462,0,0,0,1,0,0,1,0,0,0,0,2
23463,0,0,0,0,0,0,1,0,0,0,0,1
23464,0,0,1,1,0,1,0,0,0,0,0,3
